Type,Indicator,Source
hash_sha256,D49761CDBEA170DD17255A958214DB392DC7621198F95D5EB5749859C603100A,Defender TI
hash_sha256,D8BC6047FB3FD4F47B15B4058FA482690B5B72A5E3B3D324C21D7DA4435C9964,Defender TI
hash_sha256,B480092D8E5F7CA6AEBDEAAE676EA09281D07FC8CCF2318DA2FA1C01471B818D,Defender TI
hash_sha256,FD11F419E4AC992E89CCA48369E7D774B7B2E0D28D0B6A34F7EE0BC1D943C056,Defender TI
hash_sha256,AA7A3E8B59B5495F6EEBC19F0654B93BB01FD2FA2932458179A8AE85FB4B8EC1,Defender TI
hash_sha256,6ABA7B5A9B4F7AD4203F26F3FB539911369AEEF502D43AF23AA3646D91280AD9,Defender TI
hash_sha256,166791AAC8B056AF8029AB6BDEEC5A2626CA3F3961FDF0337D24451CFCCFC05D,Defender TI
hash_sha256,0305E89110744077D8DB8618827351A03BCE5B11EF5815A72C64EEA009304A34,Defender TI
hash_sha256,11AE897D79548B6B44DA75F7AB335A0585F47886CE22B371F6D340968DBED9AE,Defender TI
hash_sha256,C2D983D3812B5B6D592B149D627B118DB2DEBD33069EFE4DE4E57306BA42B5DC,Defender TI
hash_sha256,F279E462253F130878FFAC820F5A0F9AC92DD14AD2F1E4BD21062BAB7B99B839,Defender TI
hash_sha256,EDB25FED9DF8E9A517188F609B9D1A030682C701C01C0D1B5CE79CBA9F7AC809,Defender TI
domain,d.2fcc7078.digimg.store,Defender TI
hash_sha256,ADF676107A6C2354D1A484C2A08C36C33D276E355A65F77770AE1AE7B7C36143,Defender TI
