Indicator,Type,Valid from,Valid until,Source
A8BFAB4DE81A1ACB04AACDF757346946B0F5E30F0C9F402004016D0E425119C7,file,2026-09-20T14:07:19.125Z,2031-09-09T05:00:00.000Z,Defender TI
img.darklights.store,domain-name,2026-09-20T12:59:23.926Z,2027-03-10T08:00:00.000Z,Defender TI
ED72F4CD8D467B5C5D95AE6AECA4AAEEA14D79565D379C1CA5871A714727BE16,file,2026-09-20T12:27:12.832Z,2031-09-09T05:00:00.000Z,Defender TI
D53C760C23B4405EB04AD0F20EAD375440344B3BDF1FB7854ED12E40D155EABE,file,2026-09-20T12:03:06.383Z,2031-09-09T05:00:00.000Z,Defender TI
8F30B57928934AE67478D0E690C91D046E35A638DA098D02922A4A88A0FDB66C,file,2026-09-20T11:34:14.460Z,2031-09-09T05:00:00.000Z,Defender TI
evidence.msbenefit.com,domain-name,2026-09-20T11:33:59.727Z,2027-09-01T22:00:00.000Z,Defender TI
83F7D565B0465546027052B597AF46EAE3A199E7A91FCC2AB936341147349130,file,2026-09-20T10:58:20.359Z,2031-09-09T05:00:00.000Z,Defender TI
FEEEA9D0BF6AE7396D28271BAA51AE50DF5169CE5D32A516865856F91ABC50B3,file,2026-09-20T09:36:21.016Z,2031-09-09T05:00:00.000Z,Defender TI
5DB1B6D52FAF60B4F32D6FD0C7C938E4D05D29A14C32DED4A9668357C08B6A91,file,2026-09-20T09:16:02.333Z,2031-09-09T05:00:00.000Z,Defender TI
img.worksongo.store,domain-name,2026-09-20T08:26:45.628Z,2027-03-10T08:00:00.000Z,Defender TI
94630B96F628C96A6BFF7904B40FFC9AD67C86F8A4FF6080C3B524831C93F402,file,2026-09-20T08:10:12.181Z,2031-09-09T05:00:00.000Z,Defender TI
09739441ED4599BAC2F8159028F772F71E4B25C8BADFFF95574E56D7384F3DBE,file,2026-09-20T07:46:59.575Z,2031-09-09T05:00:00.000Z,Defender TI
7007A78D50A993CB174C685EBA96EB442C9507E38FD9D8E5DFFC712F613EC110,file,2026-09-20T07:37:05.306Z,2031-09-09T05:00:00.000Z,Defender TI
009A1E2D7A582A24E50CF2FFC2A005482C8E38F22BF5ED416053855F8D054E1E,file,2026-09-20T07:37:05.301Z,2031-09-09T05:00:00.000Z,Defender TI
img.smartnords.site,domain-name,2026-09-20T07:27:48.245Z,2027-03-10T08:00:00.000Z,Defender TI
project.secboxes.com,domain-name,2026-09-20T07:09:45.870Z,2027-09-01T22:00:00.000Z,Defender TI
img.responsive.pstatic.autos,domain-name,2026-09-20T06:58:30.026Z,2027-03-10T08:00:00.000Z,Defender TI
secboxes.com,domain-name,2026-09-20T06:32:32.652Z,2027-09-01T23:00:00.000Z,Defender TI
FEA1BC36632C71E5A839803469EF60AC47595D36B2C50934AC109ADE6DF06E61,file,2026-09-20T06:24:55.604Z,2031-09-09T05:00:00.000Z,Defender TI
6CF1B5E92A9C0756F597A5DDEFB38EBA32961C52EFAC7AB2A0AA52C639A8FC53,file,2026-09-20T06:07:29.120Z,2031-09-09T05:00:00.000Z,Defender TI
12810854C8B2C391B23E2E18B013E873D0369B0637AA3CF993136C07188BA3B8,file,2026-09-20T05:57:40.183Z,2031-09-09T05:00:00.000Z,Defender TI
img.monderhouse.space,domain-name,2026-09-20T05:50:19.365Z,2027-03-10T08:00:00.000Z,Defender TI
asianstudies.secboxes.com,domain-name,2026-09-20T05:04:23.099Z,2027-09-01T22:00:00.000Z,Defender TI
img.socialteams.store,domain-name,2026-09-18T21:58:47.145Z,2027-03-10T08:00:00.000Z,Defender TI
materials-project.secboxes.com,domain-name,2026-09-15T20:25:42.253Z,2027-09-01T22:00:00.000Z,Defender TI
recommendation-letter.secboxes.com,domain-name,2026-09-15T20:25:42.311Z,2027-09-01T22:00:00.000Z,Defender TI
45.142.193.132,network-traffic,2026-09-14T17:20:25.290Z,2026-10-11T05:00:00.000Z,Defender TI
