Indicator,Type,Valid from,Valid until,Source
5E745171622DA8BC28F7AFD408AECEBCB4997E29E3DE97D36DD49D58F5BA4430,file,2026-05-18T17:38:12.905Z,2031-04-29T04:00:00.000Z,Defender TI
2B6B615039476E31C9CAB61B4F63AF5682132DB899CA025F8753677A446177F8,file,2026-05-18T17:38:06.228Z,2031-05-01T04:00:00.000Z,Defender TI
newproject-newworld.info,domain-name,2026-05-18T17:38:10.976Z,2027-04-29T04:00:00.000Z,Defender TI
bill-proof.cc,domain-name,2026-05-18T17:38:15.741Z,2027-04-29T04:00:00.000Z,Defender TI
6C6E88F032F37156E88861E06217A3E38E09F6C66850E98D48A399CC951546B2,file,2026-05-18T17:38:06.786Z,2031-05-01T04:00:00.000Z,Defender TI
D29E268B1D568E942E5B16E020398A8A888D2A693F725478BDF4E9865463B79F,file,2026-05-18T17:38:09.885Z,2031-04-29T04:00:00.000Z,Defender TI
world-new-iope.cc,domain-name,2026-05-18T17:38:04.512Z,2027-04-29T04:00:00.000Z,Defender TI
98074FB87B31127E7F69BFA068BE0A2CE2B81005EA511E4E8B66B2BDA15361A2,file,2026-05-18T17:38:02.360Z,2031-04-29T04:00:00.000Z,Defender TI
46524CED16B52B5C89B10D7D0D0A31C2AA91DE174DF6E584E8DB80DE7D2BBCAC,file,2026-05-18T17:38:05.845Z,2031-04-29T04:00:00.000Z,Defender TI
C3667FC5095DEA16249B76C0406BD2C235E9841FA45B7E3B4FF6F11EBDE5D579,file,2026-05-18T17:38:11.956Z,2031-04-29T04:00:00.000Z,Defender TI
64831BAC235F4207987365C8D7911250E1C5F09E8A4F4387E1653B8A0A8984F5,file,2026-05-18T17:38:02.799Z,2031-04-29T04:00:00.000Z,Defender TI
scriptblox.cc,domain-name,2026-05-18T17:38:14.483Z,2027-04-29T04:00:00.000Z,Defender TI
newworld-helloworld.icu,domain-name,2026-05-18T17:38:05.350Z,2027-04-29T04:00:00.000Z,Defender TI
hydra-server.cc,domain-name,2026-05-18T17:38:03.460Z,2027-04-29T04:00:00.000Z,Defender TI
